Sr. No.,work_id,Work category,work_category_code,State,IDA,MP,Elected/Nominated,Work description,Recommended date,Sanction Date,sanction_lag_days,sanction_amount,Work Status,work_status_code
1187,WS/MP858/2025-2026/137764-Street lights,Normal/Others,1,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),Asit Kumar Mal  (2024-2029),Elected MP,"Instalation 1 (one) no of mini hight mast street light under AUSHGRAM -II BLOCK.Excuting Agency will be M.D. WEST BENGAL AGRO INDUSTRIES CORPORATION LTD, 23-B N.S.ROAD, KOLKATA-1",2024-08-30,2025-05-14,257,279462.0,Physical Inspection,0
1188,WS/MP858/2025-2026/137765-Street lights,Normal/Others,1,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),Asit Kumar Mal  (2024-2029),Elected MP,"Instalation 1 (one) no of mini hight mast street light under AUSHGRAM -II BLOCK.Excuting Agency will be M.D. WEST BENGAL AGRO INDUSTRIES CORPORATION LTD, 23-B, N.S. ROAD,KOLKATA 1",2024-08-30,2025-05-14,257,279462.0,Physical Inspection,0
1189,WS/MP858/2025-2026/137766-Street lights,Normal/Others,1,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),Asit Kumar Mal  (2024-2029),Elected MP,"Instalation 1 (one) no of mini hight mast street light under AUSHGRAM -II BLOCK.Excuting Agency will be , M.D. WEST BENGAL AGRO INDUSTRIES CORPORATION LTD, 23-B , N.S. ROAD, KOLKATA -1.",2024-08-30,2025-06-03,277,280000.0,Work partially Completed,5
1190,"WS/MP858/2025-2026/137767-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes",Normal/Others,1,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),Asit Kumar Mal  (2024-2029),Elected MP,"CONSTRUCTION OF CYCLE STAND AT RAKHAL CHANDRA SCHOOL ,DIGNAGAR .Excuting Agency will be EO AUSHGRAM -I PANCHAYAT SAMITY.",2024-08-30,2025-07-17,321,339202.0,Physical Inspection,0
1191,WS/MP858/2025-2026/137769-Renovation of ponds and lakes,Normal/Others,1,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),Asit Kumar Mal  (2024-2029),Elected MP,Construction of pond fancining at 5 no ward under Gushkora Municipality.Excuting Agency will be EO GUSHKORA MUNICIPALITY.,2024-08-30,2025-05-15,258,500000.0,Time Estimation,2
1192,WS/MP661/2024-2025/137790-Construction of community centers and community halls,Normal/Others,1,Maharashtra,PUNE(DISTRICT COLLECTOR PUNE_IDA),Amol Ramsing Kolhe (2024-2029),Elected MP,Construction of community hall near kalbhairv mandir At. Mandoshi Tq. Khed Dist. Pune.,2024-08-30,2024-09-12,13,399922.0,Physical Inspection,0
1193,WS/MP661/2024-2025/137791-Construction of community centers and community halls,Normal/Others,1,Maharashtra,PUNE(DISTRICT COLLECTOR PUNE_IDA),Amol Ramsing Kolhe (2024-2029),Elected MP,Construction of community hall Near Maruti temple At Tokavade Tq. Khed Dist. Pune,2024-08-30,2024-09-12,13,499493.0,Physical Inspection,0
1194,WS/MP727/2024-2025/137803-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Normal/Others,1,Rajasthan,KOTA(DISTRICT COLLECTOR KOTA_IDA),Om Birla (2024-2029),Elected MP,"Gram Brnahali Mai Shamshan Ki Chardiwari, Teenshade Nirman Evam Shamshan K Samne Puliya Nirman Ka Kary Place- Barnahali , Gram - Barnahali,  Gram Panchayat- Dhipri Chambal, Block -Itawa, Recommended Amount- 7.00 Lakh Rs., Implementing Agency -Gram Panchayat Dhipri Chambal (1 )",2024-08-30,2024-12-07,99,699924.0,Work partially Completed,5
1195,WS/MP356/2024-2025/137822-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS IN SCHOOL LIBRARY,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1196,WS/MP356/2024-2025/137823-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS IN SCHOOL LIBRARY,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1197,WS/MP356/2024-2025/137824-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS IN SCHOOL LIBRARY,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1198,WS/MP356/2024-2025/137825-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS IN SCHOOL LIBRARY,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1199,WS/MP356/2024-2025/137826-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS IN SCHOOL LIBRARY,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1200,WS/MP356/2024-2025/137827-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS IN SCHOOL LIBRARY,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1201,WS/MP356/2024-2025/137828-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS IN HSS GIRLS SCHOOL LIBRARY BHANPURA,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1202,WS/MP356/2024-2025/137829-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1203,WS/MP356/2024-2025/137830-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE FOR BOOKS,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1204,WS/MP356/2024-2025/137831-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1205,WS/MP356/2024-2025/137832-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1206,WS/MP356/2024-2025/137833-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1207,WS/MP356/2024-2025/137834-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1208,WS/MP356/2024-2025/137835-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1209,WS/MP356/2024-2025/137836-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1210,WS/MP356/2024-2025/137837-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1211,WS/MP356/2024-2025/137838-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1212,WS/MP356/2024-2025/137839-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1213,WS/MP356/2024-2025/137840-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1214,WS/MP356/2024-2025/137841-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1215,WS/MP356/2024-2025/137842-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1216,WS/MP356/2024-2025/137843-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS & IN GHS & HS SCHOOL,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1217,WS/MP356/2024-2025/137844-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1218,WS/MP356/2024-2025/137845-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1219,WS/MP356/2024-2025/137846-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK,2024-08-30,2024-12-16,108,100000.0,Physical Inspection,0
1220,WS/MP356/2024-2025/137860-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK IN SCHOOL LIBRARY,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1221,WS/MP356/2024-2025/137861-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK IN SCHOOL LIBRARY,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1222,WS/MP356/2024-2025/137862-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK IN SCHOOL LIBRARY,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1223,WS/MP356/2024-2025/137863-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK IN SCHOOL LIBRARY,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1224,WS/MP356/2024-2025/137864-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK IN LIBRARY,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1225,WS/MP356/2024-2025/137865-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1226,WS/MP356/2024-2025/137866-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1227,WS/MP356/2024-2025/137867-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1228,WS/MP356/2024-2025/137868-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1229,WS/MP356/2024-2025/137869-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1230,WS/MP356/2024-2025/137870-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1231,WS/MP356/2024-2025/137871-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1232,WS/MP356/2024-2025/137872-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1233,WS/MP356/2024-2025/137873-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1234,WS/MP356/2024-2025/137874-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1235,WS/MP356/2024-2025/137875-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1236,WS/MP356/2024-2025/137876-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1237,WS/MP356/2024-2025/137877-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1238,WS/MP356/2024-2025/137878-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1239,WS/MP356/2024-2025/137879-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1240,WS/MP356/2024-2025/137880-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1241,WS/MP356/2024-2025/137881-Purchase of books for public libraries/ digitization of library books,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1242,WS/MP356/2024-2025/137882-Purchase of books for public libraries/ digitization of library books,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1243,WS/MP356/2024-2025/137883-Purchase of books for public libraries/ digitization of library books,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOKS,2024-08-30,2024-11-20,82,100000.0,Physical Inspection,0
1244,WS/MP356/2024-2025/137884-Purchase Books for Library,Normal/Others,1,Madhya Pradesh,NEEMUCH(District Collector Neemuch_IDA),Shri Sudheer Gupta  (2024-2029),Elected MP,PURCHASE OF BOOK,2024-08-30,2024-11-20,82,94846.0,Physical Inspection,0
1245,WS/MP18173/2025-2026/137910-Construction of community centers and community halls,Normal/Others,1,Tamil Nadu,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S (2024-2029),Elected MP,Construction Threshing Floor at Arasoor Panchayat,2024-09-05,2025-06-12,280,598966.0,Physical Inspection,0
1246,"WS/MP18173/2024-2025/137911-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Tamil Nadu,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S (2024-2029),Elected MP,Providing Cement Concrete Pavement Kammala Street in Alathur Panchayat,2024-09-05,2025-03-25,201,599049.0,Physical Inspection,0
1247,WS/MP18173/2024-2025/137912-Construction of community centers and community halls,Normal/Others,1,Tamil Nadu,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S (2024-2029),Elected MP,Construction Threshing Floor near Kundru at Vinnavadi Panchayat,2024-09-05,2025-03-26,202,599943.0,Physical Inspection,0
1248,WS/MP18173/2024-2025/137914-Construction of additional rooms and halls in the existing public and community building,Normal/Others,1,Tamil Nadu,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S (2024-2029),Elected MP,Construction of Kitchen Shed with Store Room at PUE School ADC in Kanikiluppai Panchayat,2024-09-05,2024-10-24,49,769624.0,Physical Inspection,0
1249,WS/MP18173/2024-2025/137915-Construction of community centers and community halls,Normal/Others,1,Tamil Nadu,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S (2024-2029),Elected MP,Construction of Drama Stage in Agrapalayam Panchayat,2024-09-05,2025-01-02,119,1000000.0,Vendor Identification,3
1250,"WS/MP18173/2024-2025/137916-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Tamil Nadu,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S (2024-2029),Elected MP,Providing Cement Concrete Pavement at Chettithangal New Street in Sirumur Panchayat,2024-09-05,2025-01-02,119,349860.0,Physical Inspection,0
1251,"WS/MP18173/2024-2025/137917-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Tamil Nadu,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S (2024-2029),Elected MP,Providing Cement Concrete Pavement at Kanagampattu Mettu Street at Madurai Perumpattur Panchayat,2024-09-05,2024-10-21,46,299814.0,Physical Inspection,0
1252,"WS/MP18173/2024-2025/137918-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Tamil Nadu,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S (2024-2029),Elected MP,Providing Cement Concrete Pavement at Pattankulam Vasantham 2nd Street at Athimalaipattu Panchayat,2024-09-05,2024-10-21,46,499500.0,Physical Inspection,0
